cgpa,backlogs,certifications,projects,dsa_problems,internship,communication_score,mock_interview_score,branch_AI&DS,branch_Civil,branch_Computer,branch_ENTC,branch_IT,branch_Mechanical
7.2,0,1,3,83,1,53.6,50.0,0,0,0,0,1,0
7.77,2,3,2,71,0,67.1,76.1,0,1,0,0,0,0
8.57,0,5,2,66,1,52.6,46.1,0,1,0,0,0,0
6.68,3,2,2,74,0,63.0,58.9,0,0,1,0,0,0
7.72,0,4,4,75,0,50.4,49.2,0,0,0,0,1,0
6.97,2,2,3,60,1,49.0,58.1,0,0,0,0,1,0
8.68,0,1,3,68,0,72.4,62.7,0,0,1,0,0,0
6.23,1,3,2,63,1,60.5,58.9,0,0,1,0,0,0
7.1,4,4,1,81,1,61.7,43.6,1,0,0,0,0,0
7.94,0,7,1,58,1,59.8,62.2,1,0,0,0,0,0
9.01,3,4,3,57,0,100.0,50.6,0,0,1,0,0,0
7.54,0,6,1,61,0,75.9,55.5,0,0,1,0,0,0
7.1,0,4,3,80,1,77.3,76.1,0,1,0,0,0,0
9.29,0,1,2,72,0,57.9,79.3,0,0,1,0,0,0
6.3,0,1,2,81,1,74.6,45.3,0,0,1,0,0,0
5.62,0,7,3,75,0,65.0,88.5,0,0,0,0,1,0
8.0,0,4,2,63,0,57.8,57.3,0,1,0,0,0,0
7.15,0,3,1,68,0,93.1,56.0,0,0,1,0,0,0
6.68,1,3,2,78,0,75.4,51.6,0,0,0,1,0,0
8.24,1,3,3,69,0,74.8,65.8,0,0,0,1,0,0
7.82,0,3,3,72,1,55.4,94.7,0,0,1,0,0,0
7.09,0,1,2,68,1,51.5,41.9,0,0,0,1,0,0
6.45,0,1,3,64,0,67.3,34.1,0,0,0,0,1,0
8.39,0,3,1,69,1,60.5,69.0,1,0,0,0,0,0
8.19,0,0,2,57,0,76.0,73.5,1,0,0,0,0,0
7.51,0,3,0,62,1,76.8,65.8,1,0,0,0,0,0
9.26,0,3,4,68,1,68.9,73.9,0,0,1,0,0,0
6.64,3,0,2,72,1,78.8,48.0,0,0,0,0,0,1
6.23,0,2,2,69,0,70.5,50.8,0,0,0,0,1,0
6.98,0,1,2,62,0,56.7,66.9,0,0,1,0,0,0
7.56,0,2,1,81,0,65.4,91.4,0,0,1,0,0,0
7.82,0,4,3,68,1,69.8,73.4,1,0,0,0,0,0
7.38,0,4,1,70,0,80.1,74.1,0,0,0,1,0,0
7.92,0,1,1,71,1,70.9,48.9,0,0,1,0,0,0
6.47,0,3,3,61,0,60.6,71.3,1,0,0,0,0,0
8.9,0,3,2,59,1,80.6,47.3,0,0,1,0,0,0
7.53,4,2,3,62,0,72.9,91.5,1,0,0,0,0,0
8.61,2,2,3,66,0,88.1,49.8,0,0,1,0,0,0
7.91,0,3,2,75,0,69.1,53.1,0,0,0,1,0,0
8.01,0,2,3,60,0,54.5,42.9,0,0,0,0,1,0
8.11,0,3,1,78,0,83.3,66.3,0,1,0,0,0,0
8.0,0,2,3,73,1,60.5,65.7,0,0,1,0,0,0
8.18,0,1,2,72,0,71.8,87.7,0,0,0,0,1,0
8.8,0,0,2,56,0,70.4,76.6,0,0,1,0,0,0
7.78,0,3,3,61,1,68.6,53.1,0,1,0,0,0,0
8.24,0,4,4,74,0,65.8,78.1,0,0,0,0,0,1
7.52,0,4,5,72,1,46.5,46.3,0,0,1,0,0,0
8.9,3,3,3,72,1,55.0,54.2,0,0,0,1,0,0
6.99,2,3,2,79,0,82.6,66.8,0,0,0,0,0,1
9.22,1,6,2,63,0,73.6,48.0,1,0,0,0,0,0
7.56,0,4,2,70,0,92.8,81.0,1,0,0,0,0,0
6.31,2,4,3,70,1,54.5,99.2,0,0,1,0,0,0
7.72,0,5,2,76,1,67.6,60.6,0,0,1,0,0,0
6.99,1,1,4,65,1,83.1,55.2,0,0,0,0,0,1
8.36,0,4,2,68,1,60.6,63.1,0,1,0,0,0,0
7.01,1,2,2,80,0,61.7,56.6,1,0,0,0,0,0
7.2,0,4,2,75,1,64.2,68.9,0,0,0,0,1,0
5.9,2,5,4,70,1,62.2,45.2,0,0,0,0,1,0
7.19,3,2,3,77,1,74.9,69.8,0,0,0,1,0,0
5.42,0,4,3,67,1,44.9,93.7,0,0,0,0,0,1
6.17,0,1,2,76,1,89.4,35.0,0,0,0,0,0,1
8.28,4,2,4,62,0,55.5,47.5,0,0,0,1,0,0
8.31,0,4,0,64,0,40.5,58.3,1,0,0,0,0,0
7.98,2,1,4,76,0,67.9,73.1,0,0,1,0,0,0
6.73,0,1,3,69,0,63.1,78.4,0,0,1,0,0,0
7.56,0,0,2,56,1,65.7,77.1,0,0,0,0,0,1
7.6,0,3,3,72,0,72.1,39.6,1,0,0,0,0,0
6.56,0,3,3,68,1,76.4,54.9,0,0,1,0,0,0
8.95,1,4,0,52,0,89.9,51.5,0,0,1,0,0,0
8.39,0,2,4,70,0,59.0,64.0,0,0,0,1,0,0
7.4,0,3,2,57,1,78.1,65.3,0,0,1,0,0,0
7.62,0,6,2,57,1,77.2,44.5,0,0,1,0,0,0
7.79,0,2,1,62,0,33.7,58.4,1,0,0,0,0,0
5.76,2,2,2,80,0,57.2,73.7,0,0,0,1,0,0
7.38,4,2,3,66,0,51.3,55.6,0,0,0,1,0,0
6.99,0,4,2,70,0,73.8,62.0,0,0,1,0,0,0
6.7,1,1,3,74,0,72.4,90.5,0,0,0,1,0,0
7.35,1,4,2,83,0,72.7,94.9,0,0,1,0,0,0
9.22,0,3,5,78,1,64.0,32.6,0,0,0,0,1,0
8.18,3,3,3,59,1,65.3,66.7,0,0,0,1,0,0
7.09,0,5,4,61,1,67.6,100.0,1,0,0,0,0,0
8.12,0,3,1,64,1,62.8,72.2,0,0,0,0,0,1
8.86,2,1,2,68,0,78.1,65.3,0,0,0,1,0,0
8.43,0,1,2,63,1,54.1,84.7,1,0,0,0,0,0
7.65,1,3,3,66,0,57.8,68.3,0,0,1,0,0,0
7.02,2,5,4,80,1,69.6,75.6,0,0,0,0,1,0
8.23,0,4,1,74,0,63.2,61.8,0,0,1,0,0,0
7.95,2,2,1,69,0,53.6,68.1,0,0,1,0,0,0
8.41,0,7,4,76,1,74.9,71.4,0,1,0,0,0,0
8.17,0,0,2,74,1,60.6,78.0,0,0,0,0,1,0
8.54,0,4,3,53,1,57.0,58.5,0,0,0,0,0,1
7.12,2,2,3,75,1,65.7,58.1,1,0,0,0,0,0
8.79,0,3,4,68,0,56.4,36.1,0,0,0,1,0,0
7.78,0,1,1,70,0,67.6,59.2,1,0,0,0,0,0
9.47,0,3,1,69,0,63.3,79.3,1,0,0,0,0,0
6.98,1,1,3,64,1,61.3,71.9,0,0,0,0,1,0
9.16,0,3,5,80,1,61.4,50.0,0,0,1,0,0,0
7.78,0,6,2,77,0,80.9,36.4,0,0,0,1,0,0
7.01,0,3,2,59,1,72.8,62.9,0,0,1,0,0,0
7.16,0,2,3,68,1,45.8,78.9,0,0,1,0,0,0
7.31,1,1,5,66,0,79.5,57.8,1,0,0,0,0,0
7.98,0,4,4,75,1,74.7,43.3,0,0,1,0,0,0
8.07,0,4,5,66,1,73.9,56.2,0,1,0,0,0,0
7.08,3,3,0,66,1,79.5,69.9,0,1,0,0,0,0
7.58,0,1,1,55,0,68.2,83.6,0,1,0,0,0,0
9.53,4,4,3,65,0,76.1,61.1,0,0,0,0,1,0
9.15,0,2,4,66,0,62.0,80.8,0,0,1,0,0,0
7.99,1,4,2,64,0,79.0,79.2,0,1,0,0,0,0
7.63,0,1,2,68,1,70.8,47.4,0,0,0,0,1,0
7.71,0,5,4,70,0,50.1,83.8,0,1,0,0,0,0
8.15,1,3,1,72,1,81.5,69.4,0,1,0,0,0,0
6.68,1,1,2,51,0,66.3,46.9,0,0,0,0,0,1
7.37,1,2,3,80,0,64.5,91.4,0,0,1,0,0,0
6.1,0,1,3,81,0,62.2,63.1,0,0,0,0,1,0
7.96,1,5,3,74,1,63.2,35.8,0,0,0,0,0,1
8.18,1,1,2,69,1,71.0,54.4,0,0,0,0,1,0
7.17,0,3,3,75,0,55.2,50.7,0,0,1,0,0,0
9.02,1,2,3,59,1,47.6,54.8,1,0,0,0,0,0
6.5,1,3,3,54,0,54.2,58.3,0,1,0,0,0,0
6.28,0,2,3,73,0,73.0,61.1,0,0,0,1,0,0
7.8,0,5,2,73,0,65.9,60.6,1,0,0,0,0,0
8.54,0,4,1,75,0,82.5,63.5,0,0,1,0,0,0
9.12,0,5,1,72,1,67.2,73.8,1,0,0,0,0,0
7.19,0,2,2,66,0,79.0,53.8,0,1,0,0,0,0
8.57,0,3,3,59,0,59.0,82.7,0,0,1,0,0,0
7.57,0,2,4,58,0,62.3,46.6,1,0,0,0,0,0
7.44,0,1,3,66,1,68.1,74.2,0,0,0,0,0,1
8.4,0,3,4,62,0,66.1,89.6,0,0,0,1,0,0
8.19,1,1,2,69,1,64.9,62.3,0,0,0,1,0,0
6.18,3,7,2,65,0,56.7,67.9,0,0,0,1,0,0
8.93,0,6,2,75,0,47.4,50.5,0,0,0,0,1,0
8.84,3,3,1,75,1,76.2,57.3,0,0,1,0,0,0
7.04,0,4,1,57,0,74.8,88.5,0,0,0,0,0,1
7.96,0,1,3,70,1,60.0,76.2,0,0,0,0,0,1
8.04,0,1,5,59,0,72.9,71.3,0,0,0,0,0,1
7.83,0,2,1,72,1,65.8,35.9,0,1,0,0,0,0
7.1,1,3,0,87,0,82.4,54.3,1,0,0,0,0,0
7.0,1,3,4,84,1,50.9,91.1,1,0,0,0,0,0
7.58,0,1,2,77,0,66.4,71.2,0,0,0,1,0,0
8.66,0,4,4,73,0,65.3,73.0,1,0,0,0,0,0
8.09,0,1,3,73,0,70.1,67.6,0,0,0,1,0,0
7.27,0,3,5,77,0,88.0,55.8,0,0,0,1,0,0
8.29,0,3,2,62,0,66.4,70.0,0,0,0,0,0,1
5.04,0,1,3,70,0,77.7,42.0,0,0,0,0,1,0
8.63,1,2,3,79,1,66.1,40.9,0,0,0,0,1,0
6.03,2,4,3,72,1,81.9,54.0,0,0,1,0,0,0
7.27,0,2,2,79,1,77.8,67.9,1,0,0,0,0,0
6.59,2,0,1,72,1,63.7,41.5,0,0,1,0,0,0
6.43,0,4,3,61,0,62.7,66.9,0,0,0,0,1,0
8.64,0,0,3,63,0,74.3,50.1,1,0,0,0,0,0
7.18,0,2,4,74,0,59.5,52.1,0,0,1,0,0,0
7.91,0,5,3,73,1,70.5,84.5,1,0,0,0,0,0
7.56,3,1,3,82,0,63.4,65.6,0,0,1,0,0,0
8.03,0,5,1,65,0,72.8,51.4,0,0,1,0,0,0
7.67,0,4,3,67,1,65.9,67.8,0,0,0,0,0,1
6.45,0,4,3,85,0,59.0,43.0,0,0,0,0,1,0
8.5,0,3,4,81,1,82.4,70.7,0,0,1,0,0,0
7.16,2,6,4,86,1,71.1,81.6,1,0,0,0,0,0
6.2,0,2,1,72,0,67.3,74.9,0,0,0,1,0,0
7.21,0,4,4,79,0,73.5,97.4,0,0,1,0,0,0
8.95,0,2,0,72,0,46.3,35.9,1,0,0,0,0,0
8.37,0,5,2,65,1,95.2,66.9,0,0,1,0,0,0
7.29,0,3,3,80,0,68.3,44.8,0,0,1,0,0,0
7.29,0,3,1,80,1,42.5,62.4,1,0,0,0,0,0
7.31,0,3,3,70,1,83.6,65.0,1,0,0,0,0,0
9.47,1,1,0,74,0,58.2,99.2,1,0,0,0,0,0
7.94,1,3,1,76,0,81.6,64.1,0,0,0,1,0,0
7.99,1,6,3,54,1,69.6,63.8,0,1,0,0,0,0
8.53,0,3,3,72,0,47.6,80.1,1,0,0,0,0,0
7.81,0,1,4,55,1,71.4,64.2,0,0,0,0,1,0
7.37,0,3,3,71,0,70.4,92.5,0,0,0,1,0,0
7.42,1,3,3,76,1,83.0,75.0,0,0,1,0,0,0
7.54,0,2,2,66,1,74.8,77.4,0,0,0,0,1,0
7.57,0,3,0,74,1,51.9,37.0,0,0,1,0,0,0
8.25,0,0,1,71,0,81.0,94.8,0,0,1,0,0,0
7.65,0,8,3,75,0,62.6,55.2,0,1,0,0,0,0
8.26,0,1,3,87,1,90.4,64.9,0,0,0,0,0,1
7.53,0,1,2,72,0,63.4,55.2,0,0,0,1,0,0
7.67,1,3,3,62,0,65.3,49.6,0,0,0,0,1,0
5.8,0,2,3,69,1,57.3,47.0,0,0,1,0,0,0
8.42,0,2,1,70,0,61.5,66.5,0,0,1,0,0,0
7.91,0,3,1,71,0,58.1,35.5,0,0,1,0,0,0
8.5,0,4,4,68,0,83.3,61.4,1,0,0,0,0,0
5.0,0,3,3,66,1,50.7,80.9,0,0,0,1,0,0
9.48,1,7,4,72,1,78.5,74.5,0,0,0,1,0,0
7.47,0,3,1,72,0,78.8,71.5,0,0,1,0,0,0
8.6,1,3,5,67,0,85.9,51.6,0,1,0,0,0,0
6.66,0,3,2,52,0,68.6,41.2,0,0,0,1,0,0
8.15,0,5,0,55,1,54.7,80.6,1,0,0,0,0,0
6.65,1,5,5,78,0,65.8,58.3,1,0,0,0,0,0
7.04,0,4,2,74,1,75.7,63.8,0,0,0,0,1,0
9.32,0,4,3,81,0,69.1,62.0,0,0,1,0,0,0
7.43,0,2,1,65,1,72.8,75.1,0,0,0,0,1,0
7.8,0,6,3,67,0,85.7,92.6,0,0,0,1,0,0
8.38,1,3,4,68,1,75.6,86.9,0,0,1,0,0,0
8.05,0,2,2,75,0,70.6,30.0,0,0,1,0,0,0
7.74,1,6,3,79,0,44.0,60.4,0,0,1,0,0,0
7.93,2,4,1,76,1,57.8,44.8,0,0,1,0,0,0
9.76,0,3,3,80,1,62.7,79.1,0,0,0,0,0,1
7.55,2,3,2,62,0,42.3,65.1,0,0,0,1,0,0
7.78,0,6,2,64,1,53.6,74.1,0,0,0,0,1,0
8.55,3,4,2,72,1,64.5,59.1,0,0,1,0,0,0
8.59,0,2,1,70,1,66.6,49.4,0,0,0,0,1,0
8.67,0,1,4,71,0,74.6,52.0,0,0,0,0,1,0
8.17,0,3,2,65,0,65.3,42.0,0,0,1,0,0,0
6.57,0,4,2,63,0,71.2,46.0,0,0,0,0,1,0
9.07,0,5,2,80,0,62.6,42.9,0,0,0,0,1,0
6.57,1,6,2,67,1,68.5,49.5,1,0,0,0,0,0
7.87,0,2,3,69,0,73.9,48.6,1,0,0,0,0,0
6.92,0,4,5,70,0,87.1,70.9,0,0,1,0,0,0
7.54,1,4,2,76,1,61.3,70.3,0,0,0,0,1,0
7.9,0,0,4,70,1,69.9,70.9,1,0,0,0,0,0
7.89,3,4,3,76,0,79.3,82.6,1,0,0,0,0,0
7.98,1,5,1,77,0,49.3,63.8,0,0,0,0,0,1
9.05,3,2,3,62,1,94.0,53.3,0,0,0,1,0,0
8.01,1,5,3,69,0,83.3,98.2,0,0,1,0,0,0
7.38,0,4,3,77,1,45.8,78.6,0,0,1,0,0,0
8.47,0,5,4,59,1,72.8,67.3,1,0,0,0,0,0
8.67,1,2,2,73,0,60.7,66.2,0,0,1,0,0,0
6.5,0,2,4,55,1,62.8,69.3,1,0,0,0,0,0
8.14,0,0,4,75,1,72.6,62.0,0,1,0,0,0,0
8.23,0,4,3,81,0,81.7,66.9,1,0,0,0,0,0
7.33,3,1,3,67,1,61.9,72.5,0,0,0,0,1,0
8.84,0,2,2,78,1,62.1,54.1,1,0,0,0,0,0
7.46,0,3,5,75,1,72.8,40.5,0,0,0,0,1,0
7.71,0,2,3,65,1,75.4,33.9,1,0,0,0,0,0
7.44,0,2,0,78,0,54.9,78.3,0,1,0,0,0,0
7.61,0,1,2,71,0,90.4,41.3,0,0,0,0,1,0
6.61,0,3,3,69,0,59.6,72.0,0,1,0,0,0,0
6.3,0,4,1,69,0,80.5,47.7,0,1,0,0,0,0
9.04,1,6,0,69,0,73.9,47.9,0,0,1,0,0,0
6.84,0,3,3,82,1,75.9,54.2,0,0,1,0,0,0
6.71,1,2,2,92,1,59.9,67.9,0,0,1,0,0,0
5.66,2,3,2,72,1,45.6,45.7,0,0,1,0,0,0
7.02,0,1,2,89,1,67.7,55.7,0,0,1,0,0,0
6.41,0,2,1,76,1,67.8,64.6,0,0,0,1,0,0
9.08,0,1,3,64,0,55.5,46.8,0,0,1,0,0,0
8.51,2,3,3,71,1,79.9,86.4,0,0,0,0,1,0
6.98,0,4,2,65,0,67.3,39.2,0,0,0,0,0,1
9.63,0,2,2,73,1,57.5,61.7,0,0,1,0,0,0
8.48,0,2,3,70,1,75.6,84.1,0,0,0,0,0,1
7.31,0,3,1,68,0,76.0,45.1,0,0,1,0,0,0
5.35,0,2,1,68,1,58.7,63.4,0,0,1,0,0,0
9.66,0,2,1,71,0,84.0,67.0,0,0,0,1,0,0
6.35,1,3,4,70,0,97.2,52.9,1,0,0,0,0,0
6.12,0,1,4,70,1,53.8,63.8,0,0,0,0,0,1
8.52,0,6,4,73,0,65.6,73.4,0,0,0,1,0,0
9.8,0,2,3,68,0,72.4,58.0,0,0,0,0,0,1
8.85,1,2,3,73,1,97.6,76.5,0,0,1,0,0,0
8.11,0,2,3,67,1,58.5,70.9,0,0,1,0,0,0
8.14,2,4,3,61,1,55.8,56.3,0,0,0,1,0,0
8.37,0,1,0,64,1,55.7,81.9,0,0,0,0,0,1
8.28,0,2,3,80,0,83.9,53.9,0,1,0,0,0,0
7.85,0,4,4,55,0,58.8,77.8,0,0,0,0,1,0
7.69,0,3,3,62,1,56.9,54.2,0,0,0,0,1,0
7.54,0,3,2,78,1,71.0,60.3,0,0,0,1,0,0
6.92,0,3,2,68,0,72.0,62.6,0,0,0,0,1,0
7.35,1,6,3,74,1,81.9,70.1,0,1,0,0,0,0
6.08,0,3,3,76,1,69.2,28.8,0,0,0,0,0,1
7.51,0,3,4,78,1,71.2,71.9,0,0,0,0,1,0
6.71,0,1,2,57,1,66.6,63.5,0,0,0,1,0,0
6.61,0,2,4,72,0,51.0,69.3,0,0,0,1,0,0
7.76,0,4,3,69,1,65.4,72.5,0,0,1,0,0,0
8.85,0,3,4,69,1,68.8,70.9,0,1,0,0,0,0
8.43,0,3,3,55,0,62.2,34.9,1,0,0,0,0,0
6.19,0,2,3,75,1,47.7,49.1,0,0,0,0,0,1
6.71,0,3,3,72,0,53.2,70.0,0,0,0,0,1,0
8.45,0,1,3,87,0,67.5,68.0,0,0,0,0,0,1
