student_id,branch,cgpa,backlogs,certifications,projects,dsa_problems,internship,communication_score,mock_interview_score,placed,cluster,PC1,PC2
STU0024,IT,7.18,0,7,1,69,0,58.3,75.1,0,1,0.6040801723592856,1.0929789179862048
STU0025,IT,7.21,0,3,5,79,1,65.0,52.4,1,2,-1.235889354127298,0.8671526695409585
STU0026,ENTC,7.32,2,2,1,83,0,67.4,34.9,0,0,-0.4496606973325524,-0.5669359239335852
STU0027,Computer,7.8,0,5,3,69,0,61.5,99.1,1,1,0.6482573089660022,1.6769446089336906
STU0028,AI&DS,7.17,1,2,2,73,1,82.5,70.0,1,2,0.16459898202559592,-0.7481662250277815
STU0029,AI&DS,8.73,4,4,3,68,1,58.4,61.7,0,0,1.0680118208247196,1.7901527383085032
STU0030,Computer,6.79,0,1,1,69,1,69.8,85.9,0,2,-0.6133146339961743,-1.0763903220179385
STU0031,AI&DS,7.43,0,3,2,70,1,75.0,67.1,0,2,0.1381076400269628,-0.6231266201337855
STU0032,Computer,7.2,0,8,2,71,1,69.7,85.0,1,2,1.2201345303724023,1.572820434672652
STU0033,Computer,8.9,0,3,4,69,1,78.0,83.7,1,2,1.2317160617341447,0.44275511810367557
STU0034,Civil,7.78,0,5,0,77,1,62.4,45.9,0,2,0.4796170361354477,-0.45186165599401895
STU0035,Civil,8.53,2,6,4,74,1,76.1,71.9,1,0,1.735724253815156,1.963425984221899
STU0036,Mechanical,6.26,1,5,4,71,0,76.5,90.9,0,1,-0.10340804349263519,1.5759036842095342
STU0037,IT,7.84,0,4,2,65,1,80.6,50.0,1,2,0.7177475796514218,-1.0789283591824075
STU0038,Computer,8.4,0,3,4,71,0,43.5,50.2,1,1,-0.9476161854991669,1.1029454366443059
STU0039,ENTC,7.67,1,4,0,60,0,74.6,52.7,0,1,0.967913401769686,-1.355079793254841
STU0040,IT,8.56,3,0,5,59,0,79.7,78.4,0,0,0.5481116332071245,0.27130324708003
STU0041,Computer,7.13,1,8,3,69,1,62.7,69.3,1,2,0.6433908635770937,2.07154545798885
STU0042,IT,8.87,0,2,2,77,0,60.9,36.0,1,1,0.03541981189375002,-0.6662977598993635
STU0043,Computer,9.67,0,4,2,78,0,58.9,70.1,1,1,1.5164533746238829,0.9045642389583702
STU0044,Civil,7.27,0,0,1,58,1,54.6,61.2,1,2,-1.3812478325545792,-1.7764732075866334
STU0045,Computer,7.2,0,1,5,68,0,76.7,63.3,0,1,-1.0549587973208134,-0.3008421555737008
STU0046,ENTC,8.91,0,7,0,76,1,97.7,52.4,1,2,3.3433843945516317,-0.9722251834964211
STU0047,IT,9.02,0,4,3,67,0,60.8,70.2,1,1,0.9401494258186599,0.7343857198625551
STU0048,AI&DS,7.13,0,5,2,63,0,61.9,80.8,1,1,0.11932613529479014,0.5953832416454955
STU0049,AI&DS,7.22,0,1,5,68,0,68.2,55.4,1,1,-1.4826676929901765,-0.1593540983896431
STU0050,Computer,7.35,0,5,2,61,1,47.2,39.8,0,2,-0.8636600382652592,0.07166025211886995
STU0051,Civil,6.39,0,1,3,80,0,59.0,60.5,0,1,-2.0828198683744414,-0.025596303364640596
STU0052,ENTC,6.77,0,2,3,66,1,67.3,76.3,1,2,-0.9815922991389048,-0.26474246286187675
STU0053,Civil,6.7,0,1,3,56,0,56.4,58.7,0,1,-1.8807548001074568,-0.883190029338338
STU0054,Mechanical,6.91,0,4,1,75,0,83.6,42.5,0,1,0.2066230272175248,-1.3267156127527233
STU0055,AI&DS,7.57,1,3,1,75,0,51.2,76.4,0,1,-0.22384791872596424,0.7031473041163371
STU0056,Civil,7.81,0,1,2,69,0,79.7,86.2,1,1,0.4125369702885806,-0.9247852430727657
STU0057,Computer,9.0,0,3,3,90,1,87.1,65.3,1,2,1.5415434165697033,0.1341277068995862
STU0058,Computer,6.7,0,2,1,86,1,73.0,40.9,0,2,-0.9673661306941468,-1.2540755534299213
STU0059,Computer,8.49,3,2,3,71,1,66.2,60.2,0,0,0.5182100212397613,0.6325502407180721
STU0060,IT,7.41,0,1,2,62,0,71.2,67.3,0,1,-0.45898512872656316,-1.3347892308206788
STU0061,IT,7.56,0,3,4,63,0,62.3,52.9,0,1,-0.7819006469517051,0.08856357883830537
STU0062,Computer,8.21,0,2,5,67,0,41.5,73.8,1,1,-1.2865777532344338,1.6061320911104386
STU0063,Mechanical,6.59,0,3,3,69,1,55.3,51.4,0,2,-1.692003385174449,0.03739123874004601
STU0064,IT,7.94,0,3,2,72,0,67.9,65.4,0,1,0.25134833443774335,-0.2032536043892067
STU0065,Computer,7.75,0,5,2,60,1,55.8,61.6,0,2,0.08023722001216946,0.23233663962463616
STU0066,AI&DS,8.04,2,6,0,64,0,62.6,74.2,0,0,1.6893743912108339,0.6983188320093764
STU0067,Computer,7.86,0,3,2,65,0,74.2,64.8,1,1,0.4587967176695359,-0.7324121930877625
STU0068,Mechanical,9.81,2,5,3,59,0,69.9,62.1,0,0,2.3810610985904783,0.8696580760102615
STU0069,Computer,7.03,1,2,3,72,0,81.8,53.0,1,1,-0.35310219609674864,-0.7075949640144793
STU0070,Civil,7.12,0,2,5,63,1,71.8,65.5,1,2,-1.0486398744798433,-0.032567198190420935
STU0071,ENTC,7.04,2,4,2,68,0,72.6,61.1,0,0,0.24685663770868357,0.2281983566397244
STU0072,Computer,7.1,0,3,3,62,1,58.7,51.9,1,2,-1.1297539819168245,-0.31823081557555755
STU0073,Computer,7.03,0,2,3,68,0,50.7,67.4,0,1,-1.5351883468054734,0.3323514717061589
STU0074,Mechanical,8.67,0,1,3,75,1,62.6,70.5,1,2,-0.0591812205695202,-0.05598802585378004
STU0075,ENTC,8.88,0,5,2,80,0,58.5,59.9,1,1,0.9952550699675596,1.0253511300434144
STU0076,ENTC,7.09,0,3,3,78,1,65.8,79.0,1,2,-0.5558918343770431,0.6550067244350734
STU0077,ENTC,6.85,0,4,3,58,1,54.1,69.0,1,2,-1.0171924236775947,0.38554336568224096
STU0078,Computer,8.02,0,1,3,69,1,79.0,45.7,1,2,-0.21386918232258845,-1.5165873632847215
STU0079,IT,7.1,0,3,5,60,0,58.5,85.1,0,1,-1.0435024387108573,1.1896243479782305
STU0080,Computer,8.17,0,4,2,67,1,63.3,76.5,1,2,0.6269063985299592,0.2772740568007529
STU0081,Mechanical,7.78,0,2,0,66,0,67.7,80.0,0,1,0.47298200061858997,-1.1617190916727775
STU0082,AI&DS,6.24,0,2,3,83,0,82.6,71.0,0,1,-0.8833858492642943,-0.2557457015003879
STU0083,IT,8.99,0,2,3,64,0,90.9,29.9,1,1,1.098595788515206,-2.0637048886421634
STU0084,Computer,9.22,1,4,1,70,0,91.8,81.4,1,1,3.000331894148612,-0.48535830788677525
STU0085,IT,7.05,0,5,4,64,1,51.3,65.9,0,2,-0.9827145665426847,1.351136058417472
STU0086,IT,7.25,1,2,5,61,0,63.1,70.3,0,1,-1.0426474744773553,0.7194729517944483
STU0087,ENTC,7.86,0,2,5,75,1,60.7,73.1,1,2,-0.8635339974607139,1.0757542885015987
STU0088,AI&DS,7.9,0,4,1,74,1,72.8,94.0,1,2,1.194637803578732,0.20232297654167958
STU0089,Mechanical,8.19,0,0,4,90,0,72.0,56.8,0,1,-0.7010403525548908,-0.03280627952022129
STU0090,IT,9.41,0,3,3,86,1,60.4,57.2,1,2,0.7025078137397823,0.8269884334093354
STU0091,Computer,7.44,0,0,3,77,0,59.4,52.2,0,1,-1.6019557784062923,-0.5900252974927398
STU0092,ENTC,6.88,1,2,3,70,1,55.0,49.0,0,2,-1.6140150223836986,0.04400740253837873
STU0093,ENTC,6.36,0,2,4,61,0,33.5,49.2,0,1,-3.145001100849424,0.619141256880994
STU0094,AI&DS,6.94,1,1,3,59,1,51.1,37.2,0,2,-2.0854982006882943,-0.8155971133065661
STU0095,ENTC,7.57,1,4,2,87,1,79.3,71.4,0,2,0.8071857786651272,0.6020871206210355
STU0096,IT,9.22,2,5,3,71,1,87.0,94.8,1,0,2.962254488522485,1.3201084326575372
STU0097,AI&DS,7.13,2,1,3,65,0,85.5,95.8,0,0,0.3658510802112095,-0.14514617239237634
STU0098,IT,7.8,0,4,1,65,0,79.8,52.2,0,1,0.9086671909100762,-1.292833095363932
STU0099,Computer,7.59,0,0,4,97,0,54.8,60.9,1,1,-1.821588388113514,0.9418350949755435
STU0100,Computer,8.67,0,6,3,76,0,52.6,83.5,1,1,0.9805289161620311,2.2998923954473853
STU0101,Computer,9.87,0,5,3,72,0,44.5,71.5,1,1,1.1934575535786,1.9424073281910463
STU0102,AI&DS,7.12,0,1,1,65,1,60.4,67.0,1,2,-0.9680407842708431,-1.2871406170325288
STU0103,IT,7.16,1,5,3,74,0,69.1,61.1,0,1,0.0837339794856557,0.9808748805681996
STU0104,AI&DS,8.54,0,1,1,75,0,54.9,82.7,0,1,0.11222825571148892,-0.15862544202779919
STU0105,Civil,8.21,0,4,1,85,1,73.6,48.9,1,2,0.8276342792649161,-0.4072743067499875
STU0106,Computer,9.26,0,2,3,80,1,76.5,72.2,1,2,1.2015004313934108,0.005757635823469995
STU0107,IT,8.13,0,1,2,68,0,61.8,70.2,1,1,-0.26133922572695245,-0.6328321302129171
STU0108,ENTC,7.28,0,3,3,68,0,50.6,65.7,1,1,-1.121049518019895,0.626791107199262
STU0109,Computer,8.13,2,3,1,77,0,86.0,76.8,0,0,1.741629706446514,-0.17945195983086815
STU0110,Computer,8.6,0,6,2,73,0,68.5,65.5,1,1,1.5251855497285765,0.7977345487750227
STU0111,Computer,8.34,0,0,1,78,1,93.2,57.0,1,2,0.8521838659432244,-2.476713981861514
STU0112,Computer,8.06,0,3,5,66,0,69.2,66.4,1,1,-0.14581404706606205,0.6573658339424403
STU0113,Civil,8.56,0,5,3,82,1,70.1,41.1,1,2,0.7291645433904163,0.5076693853428684
STU0114,Mechanical,8.65,0,1,3,81,1,55.5,74.2,1,2,-0.3309497163610517,0.5284234655606229
STU0115,AI&DS,8.84,0,3,2,74,1,62.5,78.0,0,2,0.8586832949379228,0.34598644335019424
STU0116,Mechanical,8.18,0,4,1,74,0,47.7,55.2,1,1,-0.07042724920384244,0.36121936212946304
STU0117,Mechanical,7.45,0,2,5,70,0,50.5,51.6,1,1,-1.8203173740556553,0.8270767681389206
STU0118,Computer,7.73,0,3,2,67,1,77.6,55.7,1,2,0.3337312379022526,-1.0780930917309484
STU0119,Mechanical,8.69,0,7,2,57,0,64.3,64.1,1,1,1.716390318526087,0.6195136353194026
STU0120,AI&DS,6.86,0,1,3,56,0,62.5,68.2,0,1,-1.388417069099005,-0.8857918463126802
STU0121,Mechanical,7.93,0,3,0,68,0,58.4,89.2,0,1,0.5802299092908911,-0.20067239461314412
STU0122,Mechanical,7.25,0,3,4,74,0,63.0,87.3,1,1,-0.5793040673926395,1.2547676809105857
STU0123,IT,7.63,4,1,3,72,1,82.7,77.5,0,0,0.6378544507003072,0.37900865373166603
STU0124,Computer,8.75,0,1,2,79,0,69.9,66.8,1,1,0.45396001900913757,-0.5459053686625301
STU0125,Computer,7.77,0,2,1,83,0,52.7,51.1,0,1,-0.7710332475433062,-0.22297599116171682
STU0126,IT,7.64,0,2,1,82,0,81.4,90.2,0,1,0.7931144763030887,-0.4604139380492362
STU0127,Mechanical,6.38,0,6,4,71,1,90.4,61.3,1,2,0.21752320882439902,0.3137891325304422
STU0128,Mechanical,8.27,0,1,3,83,1,74.4,69.2,1,2,0.05464018896502241,-0.24518931759658086
STU0129,Computer,8.18,0,3,2,64,1,79.6,74.4,1,2,1.0198207745086538,-0.813992667301146
STU0130,AI&DS,9.55,3,3,1,67,0,83.9,65.9,1,0,2.7970280237638225,-0.33960268697495577
STU0131,IT,7.32,0,4,3,64,0,46.5,82.3,1,1,-0.7711789893211473,1.3195646627519977
STU0132,Computer,7.8,0,2,3,54,0,92.2,71.8,1,1,0.82336837558149,-1.6256739216793816
STU0133,Computer,7.82,0,3,2,61,1,82.3,79.8,1,2,0.9320221586160312,-0.9333674805295895
STU0134,IT,9.02,0,4,2,53,1,74.4,71.7,0,2,1.7145770042157387,-0.7395883280345713
STU0135,Civil,7.51,0,2,2,63,1,66.4,64.4,1,2,-0.39965899523306203,-0.9408790483691759
STU0136,IT,7.85,0,3,3,69,0,50.6,66.1,1,1,-0.679202954497393,0.712705782359771
STU0137,AI&DS,8.15,1,2,5,77,1,63.7,64.1,1,2,-0.49771477966603506,1.1592897048754167
STU0138,ENTC,7.77,0,4,1,74,0,73.8,45.7,0,1,0.5267008532045998,-0.8662877528234116
STU0139,IT,7.2,0,1,3,83,1,53.6,50.0,1,2,-1.8545786755975098,0.02978460077995715
STU0140,Civil,7.77,2,3,2,71,0,67.1,76.1,0,0,0.5314989882129313,0.6300695502876403
STU0141,Civil,8.57,0,5,2,66,1,52.6,46.1,1,2,0.35848622416553605,0.28761755865475785
STU0142,Computer,6.68,3,2,2,74,0,63.0,58.9,0,0,-0.811302425124207,0.42868620968937304
STU0143,IT,7.72,0,4,4,75,0,50.4,49.2,1,1,-0.9787730015976348,1.2436707445880564
STU0144,IT,6.97,2,2,3,60,1,49.0,58.1,0,0,-1.4765471055512776,0.39871320978620817
STU0145,Computer,8.68,0,1,3,68,0,72.4,62.7,1,1,0.2939762797930126,-0.7959937497992359
STU0146,Computer,6.23,1,3,2,63,1,60.5,58.9,0,2,-1.2997494914647099,-0.3113747359707162
STU0147,AI&DS,7.1,4,4,1,81,1,61.7,43.6,0,0,0.03689320075514543,0.9095641678662962
STU0148,AI&DS,7.94,0,7,1,58,1,59.8,62.2,1,2,1.0892609626147076,0.28478941520186674
STU0149,Computer,9.01,3,4,3,57,0,100.0,50.6,0,0,2.7187278446158434,-0.6661806453475856
STU0150,Computer,7.54,0,6,1,61,0,75.9,55.5,0,1,1.106201104337356,-0.6179925405836346
STU0151,Civil,7.1,0,4,3,80,1,77.3,76.1,1,2,0.11151816492592385,0.5469068461164266
STU0152,Computer,9.29,0,1,2,72,0,57.9,79.3,0,1,0.5848441908100641,-0.045471046752165706
STU0153,Computer,6.3,0,1,2,81,1,74.6,45.3,1,2,-1.5755902249998779,-1.3773613727979774
STU0154,IT,5.62,0,7,3,75,0,65.0,88.5,0,1,-0.5640942239814781,2.0180811535391374
STU0155,Civil,8.0,0,4,2,63,0,57.8,57.3,0,1,0.06942178201821424,-0.04118434238578107
STU0156,Computer,7.15,0,3,1,68,0,93.1,56.0,0,1,0.7278761631468567,-1.9465033713140387
STU0157,ENTC,6.68,1,3,2,78,0,75.4,51.6,0,1,-0.47944588181316194,-0.3458030914508342
STU0158,ENTC,8.24,1,3,3,69,0,74.8,65.8,0,1,0.7309733636402049,0.12441478547663527
STU0159,Computer,7.82,0,3,3,72,1,55.4,94.7,1,2,-0.1758948222484409,1.2196976736757024
STU0160,ENTC,7.09,0,1,2,68,1,51.5,41.9,1,2,-1.8817257573624162,-1.0384221599502024
STU0161,IT,6.45,0,1,3,64,0,67.3,34.1,0,1,-1.9953838621598396,-1.5599281500597375
STU0162,AI&DS,8.39,0,3,1,69,1,60.5,69.0,1,2,0.5234703444570098,-0.37945528463740996
STU0163,AI&DS,8.19,0,0,2,57,0,76.0,73.5,1,1,0.1880411817240087,-1.8301787411748378
STU0164,AI&DS,7.51,0,3,0,62,1,76.8,65.8,0,2,0.6693068146168045,-1.7687472374281321
STU0165,Computer,9.26,0,3,4,68,1,68.9,73.9,1,2,1.0213392781076034,0.5471237302161621
STU0166,Mechanical,6.64,3,0,2,72,1,78.8,48.0,0,0,-0.8767930034737935,-1.200945162856655
STU0167,IT,6.23,0,2,2,69,0,70.5,50.8,0,1,-1.3955467240853572,-1.1774528820100976
STU0168,Computer,6.98,0,1,2,62,0,56.7,66.9,0,1,-1.3739968855689721,-0.8259904125742031
STU0169,Computer,7.56,0,2,1,81,0,65.4,91.4,0,1,0.11364767348394238,0.1256728352586162
STU0170,AI&DS,7.82,0,4,3,68,1,69.8,73.4,1,2,0.37820239328389754,0.3482128371956013
STU0171,ENTC,7.38,0,4,1,70,0,80.1,74.1,0,1,0.8673712594123942,-0.6377209297251631
STU0172,Computer,7.92,0,1,1,71,1,70.9,48.9,0,2,-0.19396847766583736,-1.8087961133079444
STU0173,AI&DS,6.47,0,3,3,61,0,60.6,71.3,0,1,-1.2480355667465584,0.05114838123315432
STU0174,Computer,8.9,0,3,2,59,1,80.6,47.3,1,2,1.275791918996789,-1.6167855892392837
STU0175,AI&DS,7.53,4,2,3,62,0,72.9,91.5,0,0,0.672716153247959,1.0635283455386677
STU0176,Computer,8.61,2,2,3,66,0,88.1,49.8,0,0,1.2474170502129334,-0.8422304031771135
STU0177,ENTC,7.91,0,3,2,75,0,69.1,53.1,0,1,0.1018824419534428,-0.41411111066853884
STU0178,IT,8.01,0,2,3,60,0,54.5,42.9,1,1,-0.92117843822718,-0.616297788404918
STU0179,Civil,8.11,0,3,1,78,0,83.3,66.3,1,1,1.1779490559916581,-0.8889193641647649
STU0180,Computer,8.0,0,2,3,73,1,60.5,65.7,1,2,-0.468908125402976,0.10413996862390888
STU0181,IT,8.18,0,1,2,72,0,71.8,87.7,0,1,0.3922850639494849,-0.45140467842684157
STU0182,Computer,8.8,0,0,2,56,0,70.4,76.6,1,1,0.4809737997309595,-1.546908232060134
STU0183,Civil,7.78,0,3,3,61,1,68.6,53.1,1,2,-0.19051250185094565,-0.6577949363520295
STU0184,Mechanical,8.24,0,4,4,74,0,65.8,78.1,1,1,0.4226720733373038,1.3179723050191647
STU0185,Computer,7.52,0,4,5,72,1,46.5,46.3,1,2,-1.5403091796613073,1.4859230181735732
STU0186,ENTC,8.9,3,3,3,72,1,55.0,54.2,1,0,0.5531324829494456,1.2968239722797135
STU0187,Mechanical,6.99,2,3,2,79,0,82.6,66.8,0,0,0.39325113881426665,0.09374895436735278
STU0188,AI&DS,9.22,1,6,2,63,0,73.6,48.0,1,1,2.1620280711908957,0.1626165169744106
STU0189,AI&DS,7.56,0,4,2,70,0,92.8,81.0,0,1,1.4111667934385617,-0.5761556877971928
STU0190,Computer,6.31,2,4,3,70,1,54.5,99.2,0,0,-0.7656387630334398,2.1003414225094907
STU0191,Computer,7.72,0,5,2,76,1,67.6,60.6,1,2,0.4538409640928821,0.3862334450789022
STU0192,Mechanical,6.99,1,1,4,65,1,83.1,55.2,1,2,-0.7489158485992229,-1.0030800672506437
STU0193,Civil,8.36,0,4,2,68,1,60.6,63.1,1,2,0.484974262166813,0.12498304834398496
STU0194,AI&DS,7.01,1,2,2,80,0,61.7,56.6,0,1,-0.9590473006106958,0.0715180793772662
STU0195,IT,7.2,0,4,2,75,1,64.2,68.9,0,2,-0.21714451161298406,0.3173443978477983
STU0196,IT,5.9,2,5,4,70,1,62.2,45.2,0,0,-1.4354975044163205,1.235071471246024
STU0197,ENTC,7.19,3,2,3,77,1,74.9,69.8,0,0,-0.034852876182951464,0.6711223959246011
STU0198,Mechanical,5.42,0,4,3,67,1,44.9,93.7,0,2,-2.1950013041235614,1.5513604908163807
STU0199,Mechanical,6.17,0,1,2,76,1,89.4,35.0,1,2,-1.2041141537499793,-2.373482479824627
STU0200,ENTC,8.28,4,2,4,62,0,55.5,47.5,0,0,-0.2159904214059176,1.136406029972354
STU0201,AI&DS,8.31,0,4,0,64,0,40.5,58.3,0,1,0.014202421440562643,-0.04860196353974037
STU0202,Computer,7.98,2,1,4,76,0,67.9,73.1,0,0,-0.21283181939176593,0.8562886837324256
STU0203,Computer,6.73,0,1,3,69,0,63.1,78.4,1,1,-1.3786467269114353,-0.17788460394635464
STU0204,Mechanical,7.56,0,0,2,56,1,65.7,77.1,0,2,-0.6895612792026489,-1.5199679220016022
STU0205,AI&DS,7.6,0,3,3,72,0,72.1,39.6,0,1,-0.37802126570171307,-0.6016595615655562
STU0206,Computer,6.56,0,3,3,68,1,76.4,54.9,1,2,-0.8246419769065838,-0.7189296567330179
STU0207,Computer,8.95,1,4,0,52,0,89.9,51.5,1,1,2.580195491120996,-2.185807834255781
STU0208,ENTC,8.39,0,2,4,70,0,59.0,64.0,1,1,-0.3990145881399597,0.4810619453134956
STU0209,Computer,7.4,0,3,2,57,1,78.1,65.3,1,2,0.26332960666646266,-1.2895126959635064
STU0210,Computer,7.62,0,6,2,57,1,77.2,44.5,1,2,0.8645910530014194,-0.776830829735103
STU0211,AI&DS,7.79,0,2,1,62,0,33.7,58.4,0,1,-1.3369943177905772,-0.1573175812089583
STU0212,ENTC,5.76,2,2,2,80,0,57.2,73.7,0,0,-1.7285105579462512,0.8528451711738816
STU0213,ENTC,7.38,4,2,3,66,0,51.3,55.6,0,0,-0.7937991516627612,1.2046776292201558
STU0214,Computer,6.99,0,4,2,70,0,73.8,62.0,0,1,-0.03747848516324808,-0.3312731239589139
STU0215,ENTC,6.7,1,1,3,74,0,72.4,90.5,0,1,-0.7409791928662518,0.24510761837632383
STU0216,Computer,7.35,1,4,2,83,0,72.7,94.9,0,1,0.7325721791450196,1.2956376040647664
STU0217,IT,9.22,0,3,5,78,1,64.0,32.6,1,2,0.018534532465518522,0.547690365144345
STU0218,ENTC,8.18,3,3,3,59,1,65.3,66.7,0,0,0.6214657615380431,0.6394435289409569
STU0219,AI&DS,7.09,0,5,4,61,1,67.6,100.0,1,2,0.1601423166742138,1.400336167168713
STU0220,Mechanical,8.12,0,3,1,64,1,62.8,72.2,1,2,0.46763391530872006,-0.6058833908086888
STU0221,ENTC,8.86,2,1,2,68,0,78.1,65.3,1,0,1.1848654548802617,-0.7010553951639956
STU0222,AI&DS,8.43,0,1,2,63,1,54.1,84.7,1,2,-0.15768854653149805,-0.26613624620526666
STU0223,Computer,7.65,1,3,3,66,0,57.8,68.3,0,1,-0.3575679680538923,0.6660656763972734
STU0224,IT,7.02,2,5,4,80,1,69.6,75.6,0,0,0.08937905905113477,2.11348679697487
STU0225,Computer,8.23,0,4,1,74,0,63.2,61.8,0,1,0.6729646485650838,-0.06908056519406305
STU0226,Computer,7.95,2,2,1,69,0,53.6,68.1,0,0,-0.020654588466243018,0.20668132481931348
STU0227,Civil,8.41,0,7,4,76,1,74.9,71.4,1,2,1.5307004187542654,1.770678654897148
STU0228,IT,8.17,0,0,2,74,1,60.6,78.0,1,2,-0.47708560756057083,-0.5654292119275384
STU0229,Mechanical,8.54,0,4,3,53,1,57.0,58.5,1,2,0.283511412782803,-0.04587735268318198
STU0230,AI&DS,7.12,2,2,3,75,1,65.7,58.1,0,0,-0.7517368540322223,0.363735227407743
STU0231,ENTC,8.79,0,3,4,68,0,56.4,36.1,1,1,-0.30795059380423523,0.20419755251977592
STU0232,AI&DS,7.78,0,1,1,70,0,67.6,59.2,0,1,-0.2613462844677998,-1.41847174823266
STU0233,AI&DS,9.47,0,3,1,69,0,63.3,79.3,1,1,1.6377140990481998,-0.09909044750115632
STU0234,IT,6.98,1,1,3,64,1,61.3,71.9,0,2,-1.2076697945501915,-0.21112264706537517
STU0235,Computer,9.16,0,3,5,80,1,61.4,50.0,1,2,0.0914850455949785,1.1164662259233558
STU0236,ENTC,7.78,0,6,2,77,0,80.9,36.4,0,1,0.9854267150154633,-0.23184600741250902
STU0237,Computer,7.01,0,3,2,59,1,72.8,62.9,0,2,-0.28831018984973844,-1.0924679600788316
STU0238,Computer,7.16,0,2,3,68,1,45.8,78.9,0,2,-1.5097931283922579,0.7086323710412519
STU0239,AI&DS,7.31,1,1,5,66,0,79.5,57.8,0,1,-0.7748121517901821,-0.29773993602307197
STU0240,Computer,7.98,0,4,4,75,1,74.7,43.3,1,2,0.07976683965115045,0.13127580481633266
STU0241,Civil,8.07,0,4,5,66,1,73.9,56.2,1,2,0.12949644850932243,0.4818219338088134
STU0242,Civil,7.08,3,3,0,66,1,79.5,69.9,0,0,0.9308652111115366,-0.7356089547648733
STU0243,Civil,7.58,0,1,1,55,0,68.2,83.6,0,1,-0.012657721079008144,-1.4822968372259337
STU0244,IT,9.53,4,4,3,65,0,76.1,61.1,0,0,2.426403080394144,1.1249133578331452
STU0245,Computer,9.15,0,2,4,66,0,62.0,80.8,1,1,0.5449640294525196,0.6457529225623395
STU0246,Civil,7.99,1,4,2,64,0,79.0,79.2,1,1,1.3412778159983625,0.0023229825731665814
STU0247,IT,7.63,0,1,2,68,1,70.8,47.4,0,2,-0.6230322865738394,-1.6045003384439476
STU0248,Civil,7.71,0,5,4,70,0,50.1,83.8,1,1,-0.27411166684489263,2.1614847241114856
STU0249,Civil,8.15,1,3,1,72,1,81.5,69.4,1,2,1.3175549237515443,-0.756106934028754
STU0250,Mechanical,6.68,1,1,2,51,0,66.3,46.9,0,1,-1.2979205398243052,-1.7877378392214243
STU0251,Computer,7.37,1,2,3,80,0,64.5,91.4,0,1,-0.3011727358363466,1.154453046401909
STU0252,IT,6.1,0,1,3,81,0,62.2,63.1,0,1,-2.148699373330138,-0.06717925135560807
STU0253,Mechanical,7.96,1,5,3,74,1,63.2,35.8,1,2,0.09964585898479864,0.5999999868584309
STU0254,IT,8.18,1,1,2,69,1,71.0,54.4,0,2,0.04767228472489133,-1.072231966309939
STU0255,Computer,7.17,0,3,3,75,0,55.2,50.7,1,1,-1.2476291317888306,0.3767592136295627
STU0256,AI&DS,9.02,1,2,3,59,1,47.6,54.8,1,2,-0.13767565139507862,0.16861053907185938
