student_id,branch,cgpa,backlogs,certifications,projects,dsa_problems,internship,communication_score,mock_interview_score,placed
STU0110,Computer,8.6,0,6,2,73,0,68.5,65.5,1
STU0111,Computer,8.34,0,0,1,78,1,93.2,57.0,1
STU0112,Computer,8.06,0,3,5,66,0,69.2,66.4,1
STU0113,Civil,8.56,0,5,3,82,1,70.1,41.1,1
STU0114,Mechanical,8.65,0,1,3,81,1,55.5,74.2,1
STU0115,AI&DS,8.84,0,3,2,74,1,62.5,78.0,0
STU0116,Mechanical,8.18,0,4,1,74,0,47.7,55.2,1
STU0117,Mechanical,7.45,0,2,5,70,0,50.5,51.6,1
STU0118,Computer,7.73,0,3,2,67,1,77.6,55.7,1
STU0119,Mechanical,8.69,0,7,2,57,0,64.3,64.1,1
STU0120,AI&DS,6.86,0,1,3,56,0,62.5,68.2,0
STU0121,Mechanical,7.93,0,3,0,68,0,58.4,89.2,0
STU0122,Mechanical,7.25,0,3,4,74,0,63.0,87.3,1
STU0123,IT,7.63,4,1,3,72,1,82.7,77.5,0
STU0124,Computer,8.75,0,1,2,79,0,69.9,66.8,1
STU0125,Computer,7.77,0,2,1,83,0,52.7,51.1,0
STU0126,IT,7.64,0,2,1,82,0,81.4,90.2,0
STU0127,Mechanical,6.38,0,6,4,71,1,90.4,61.3,1
STU0128,Mechanical,8.27,0,1,3,83,1,74.4,69.2,1
STU0129,Computer,8.18,0,3,2,64,1,79.6,74.4,1
STU0130,AI&DS,9.55,3,3,1,67,0,83.9,65.9,1
STU0131,IT,7.32,0,4,3,64,0,46.5,82.3,1
STU0132,Computer,7.8,0,2,3,54,0,92.2,71.8,1
STU0133,Computer,7.82,0,3,2,61,1,82.3,79.8,1
STU0134,IT,9.02,0,4,2,53,1,74.4,71.7,0
STU0135,Civil,7.51,0,2,2,63,1,66.4,64.4,1
STU0136,IT,7.85,0,3,3,69,0,50.6,66.1,1
STU0137,AI&DS,8.15,1,2,5,77,1,63.7,64.1,1
STU0138,ENTC,7.77,0,4,1,74,0,73.8,45.7,0
STU0139,IT,7.2,0,1,3,83,1,53.6,50.0,1
STU0140,Civil,7.77,2,3,2,71,0,67.1,76.1,0
STU0141,Civil,8.57,0,5,2,66,1,52.6,46.1,1
STU0142,Computer,6.68,3,2,2,74,0,63.0,58.9,0
STU0143,IT,7.72,0,4,4,75,0,50.4,49.2,1
STU0144,IT,6.97,2,2,3,60,1,49.0,58.1,0
STU0145,Computer,8.68,0,1,3,68,0,72.4,62.7,1
STU0146,Computer,6.23,1,3,2,63,1,60.5,58.9,0
STU0147,AI&DS,7.1,4,4,1,81,1,61.7,43.6,0
STU0148,AI&DS,7.94,0,7,1,58,1,59.8,62.2,1
STU0149,Computer,9.01,3,4,3,57,0,100.0,50.6,0
STU0150,Computer,7.54,0,6,1,61,0,75.9,55.5,0
STU0151,Civil,7.1,0,4,3,80,1,77.3,76.1,1
STU0152,Computer,9.29,0,1,2,72,0,57.9,79.3,0
STU0153,Computer,6.3,0,1,2,81,1,74.6,45.3,1
STU0154,IT,5.62,0,7,3,75,0,65.0,88.5,0
STU0155,Civil,8.0,0,4,2,63,0,57.8,57.3,0
STU0156,Computer,7.15,0,3,1,68,0,93.1,56.0,0
STU0157,ENTC,6.68,1,3,2,78,0,75.4,51.6,0
STU0158,ENTC,8.24,1,3,3,69,0,74.8,65.8,0
STU0159,Computer,7.82,0,3,3,72,1,55.4,94.7,1
STU0160,ENTC,7.09,0,1,2,68,1,51.5,41.9,1
STU0161,IT,6.45,0,1,3,64,0,67.3,34.1,0
STU0162,AI&DS,8.39,0,3,1,69,1,60.5,69.0,1
STU0163,AI&DS,8.19,0,0,2,57,0,76.0,73.5,1
STU0164,AI&DS,7.51,0,3,0,62,1,76.8,65.8,0
STU0165,Computer,9.26,0,3,4,68,1,68.9,73.9,1
STU0166,Mechanical,6.64,3,0,2,72,1,78.8,48.0,0
STU0167,IT,6.23,0,2,2,69,0,70.5,50.8,0
STU0168,Computer,6.98,0,1,2,62,0,56.7,66.9,0
STU0169,Computer,7.56,0,2,1,81,0,65.4,91.4,0
STU0170,AI&DS,7.82,0,4,3,68,1,69.8,73.4,1
STU0171,ENTC,7.38,0,4,1,70,0,80.1,74.1,0
STU0172,Computer,7.92,0,1,1,71,1,70.9,48.9,0
STU0173,AI&DS,6.47,0,3,3,61,0,60.6,71.3,0
STU0174,Computer,8.9,0,3,2,59,1,80.6,47.3,1
STU0175,AI&DS,7.53,4,2,3,62,0,72.9,91.5,0
STU0176,Computer,8.61,2,2,3,66,0,88.1,49.8,0
STU0177,ENTC,7.91,0,3,2,75,0,69.1,53.1,0
STU0178,IT,8.01,0,2,3,60,0,54.5,42.9,1
STU0179,Civil,8.11,0,3,1,78,0,83.3,66.3,1
STU0180,Computer,8.0,0,2,3,73,1,60.5,65.7,1
STU0181,IT,8.18,0,1,2,72,0,71.8,87.7,0
STU0182,Computer,8.8,0,0,2,56,0,70.4,76.6,1
STU0183,Civil,7.78,0,3,3,61,1,68.6,53.1,1
STU0184,Mechanical,8.24,0,4,4,74,0,65.8,78.1,1
STU0185,Computer,7.52,0,4,5,72,1,46.5,46.3,1
STU0186,ENTC,8.9,3,3,3,72,1,55.0,54.2,1
STU0187,Mechanical,6.99,2,3,2,79,0,82.6,66.8,0
STU0188,AI&DS,9.22,1,6,2,63,0,73.6,48.0,1
STU0189,AI&DS,7.56,0,4,2,70,0,92.8,81.0,0
STU0190,Computer,6.31,2,4,3,70,1,54.5,99.2,0
STU0191,Computer,7.72,0,5,2,76,1,67.6,60.6,1
STU0192,Mechanical,6.99,1,1,4,65,1,83.1,55.2,1
STU0193,Civil,8.36,0,4,2,68,1,60.6,63.1,1
STU0194,AI&DS,7.01,1,2,2,80,0,61.7,56.6,0
STU0195,IT,7.2,0,4,2,75,1,64.2,68.9,0
STU0196,IT,5.9,2,5,4,70,1,62.2,45.2,0
STU0197,ENTC,7.19,3,2,3,77,1,74.9,69.8,0
STU0198,Mechanical,5.42,0,4,3,67,1,44.9,93.7,0
STU0199,Mechanical,6.17,0,1,2,76,1,89.4,35.0,1
STU0200,ENTC,8.28,4,2,4,62,0,55.5,47.5,0
STU0201,AI&DS,8.31,0,4,0,64,0,40.5,58.3,0
STU0202,Computer,7.98,2,1,4,76,0,67.9,73.1,0
STU0203,Computer,6.73,0,1,3,69,0,63.1,78.4,1
STU0204,Mechanical,7.56,0,0,2,56,1,65.7,77.1,0
STU0205,AI&DS,7.6,0,3,3,72,0,72.1,39.6,0
STU0206,Computer,6.56,0,3,3,68,1,76.4,54.9,1
STU0207,Computer,8.95,1,4,0,52,0,89.9,51.5,1
STU0208,ENTC,8.39,0,2,4,70,0,59.0,64.0,1
STU0209,Computer,7.4,0,3,2,57,1,78.1,65.3,1
STU0210,Computer,7.62,0,6,2,57,1,77.2,44.5,1
STU0211,AI&DS,7.79,0,2,1,62,0,33.7,58.4,0
STU0212,ENTC,5.76,2,2,2,80,0,57.2,73.7,0
STU0213,ENTC,7.38,4,2,3,66,0,51.3,55.6,0
STU0214,Computer,6.99,0,4,2,70,0,73.8,62.0,0
STU0215,ENTC,6.7,1,1,3,74,0,72.4,90.5,0
STU0216,Computer,7.35,1,4,2,83,0,72.7,94.9,0
STU0217,IT,9.22,0,3,5,78,1,64.0,32.6,1
STU0218,ENTC,8.18,3,3,3,59,1,65.3,66.7,0
STU0219,AI&DS,7.09,0,5,4,61,1,67.6,100.0,1
STU0220,Mechanical,8.12,0,3,1,64,1,62.8,72.2,1
STU0221,ENTC,8.86,2,1,2,68,0,78.1,65.3,1
STU0222,AI&DS,8.43,0,1,2,63,1,54.1,84.7,1
STU0223,Computer,7.65,1,3,3,66,0,57.8,68.3,0
STU0224,IT,7.02,2,5,4,80,1,69.6,75.6,0
STU0225,Computer,8.23,0,4,1,74,0,63.2,61.8,0
STU0226,Computer,7.95,2,2,1,69,0,53.6,68.1,0
STU0227,Civil,8.41,0,7,4,76,1,74.9,71.4,1
STU0228,IT,8.17,0,0,2,74,1,60.6,78.0,1
STU0229,Mechanical,8.54,0,4,3,53,1,57.0,58.5,1
STU0230,AI&DS,7.12,2,2,3,75,1,65.7,58.1,0
STU0231,ENTC,8.79,0,3,4,68,0,56.4,36.1,1
STU0232,AI&DS,7.78,0,1,1,70,0,67.6,59.2,0
STU0233,AI&DS,9.47,0,3,1,69,0,63.3,79.3,1
STU0234,IT,6.98,1,1,3,64,1,61.3,71.9,0
STU0235,Computer,9.16,0,3,5,80,1,61.4,50.0,1
STU0236,ENTC,7.78,0,6,2,77,0,80.9,36.4,0
STU0237,Computer,7.01,0,3,2,59,1,72.8,62.9,0
STU0238,Computer,7.16,0,2,3,68,1,45.8,78.9,0
STU0239,AI&DS,7.31,1,1,5,66,0,79.5,57.8,0
STU0240,Computer,7.98,0,4,4,75,1,74.7,43.3,1
STU0241,Civil,8.07,0,4,5,66,1,73.9,56.2,1
STU0242,Civil,7.08,3,3,0,66,1,79.5,69.9,0
STU0243,Civil,7.58,0,1,1,55,0,68.2,83.6,0
STU0244,IT,9.53,4,4,3,65,0,76.1,61.1,0
STU0245,Computer,9.15,0,2,4,66,0,62.0,80.8,1
STU0246,Civil,7.99,1,4,2,64,0,79.0,79.2,1
STU0247,IT,7.63,0,1,2,68,1,70.8,47.4,0
STU0248,Civil,7.71,0,5,4,70,0,50.1,83.8,1
STU0249,Civil,8.15,1,3,1,72,1,81.5,69.4,1
STU0250,Mechanical,6.68,1,1,2,51,0,66.3,46.9,0
STU0251,Computer,7.37,1,2,3,80,0,64.5,91.4,0
STU0252,IT,6.1,0,1,3,81,0,62.2,63.1,0
STU0253,Mechanical,7.96,1,5,3,74,1,63.2,35.8,1
STU0254,IT,8.18,1,1,2,69,1,71.0,54.4,0
STU0255,Computer,7.17,0,3,3,75,0,55.2,50.7,1
STU0256,AI&DS,9.02,1,2,3,59,1,47.6,54.8,1
STU0257,Civil,6.5,1,3,3,54,0,54.2,58.3,0
STU0258,ENTC,6.28,0,2,3,73,0,73.0,61.1,0
STU0259,AI&DS,7.8,0,5,2,73,0,65.9,60.6,0
STU0260,Computer,8.54,0,4,1,75,0,82.5,63.5,1
STU0261,AI&DS,9.12,0,5,1,72,1,67.2,73.8,1
STU0262,Civil,7.19,0,2,2,66,0,79.0,53.8,0
STU0263,Computer,8.57,0,3,3,59,0,59.0,82.7,0
STU0264,AI&DS,7.57,0,2,4,58,0,62.3,46.6,0
STU0265,Mechanical,7.44,0,1,3,66,1,68.1,74.2,1
STU0266,ENTC,8.4,0,3,4,62,0,66.1,89.6,1
STU0267,ENTC,8.19,1,1,2,69,1,64.9,62.3,0
STU0268,ENTC,6.18,3,7,2,65,0,56.7,67.9,0
STU0269,IT,8.93,0,6,2,75,0,47.4,50.5,0
STU0270,Computer,8.84,3,3,1,75,1,76.2,57.3,0
STU0271,Mechanical,7.04,0,4,1,57,0,74.8,88.5,0
STU0272,Mechanical,7.96,0,1,3,70,1,60.0,76.2,0
STU0273,Mechanical,8.04,0,1,5,59,0,72.9,71.3,1
STU0274,Civil,7.83,0,2,1,72,1,65.8,35.9,0
STU0275,AI&DS,7.1,1,3,0,87,0,82.4,54.3,0
STU0276,AI&DS,7.0,1,3,4,84,1,50.9,91.1,1
STU0277,ENTC,7.58,0,1,2,77,0,66.4,71.2,0
STU0278,AI&DS,8.66,0,4,4,73,0,65.3,73.0,0
STU0279,ENTC,8.09,0,1,3,73,0,70.1,67.6,1
STU0280,ENTC,7.27,0,3,5,77,0,88.0,55.8,0
STU0281,Mechanical,8.29,0,3,2,62,0,66.4,70.0,0
STU0282,IT,5.04,0,1,3,70,0,77.7,42.0,1
STU0283,IT,8.63,1,2,3,79,1,66.1,40.9,1
STU0284,Computer,6.03,2,4,3,72,1,81.9,54.0,0
STU0285,AI&DS,7.27,0,2,2,79,1,77.8,67.9,1
STU0286,Computer,6.59,2,0,1,72,1,63.7,41.5,0
STU0287,IT,6.43,0,4,3,61,0,62.7,66.9,0
STU0288,AI&DS,8.64,0,0,3,63,0,74.3,50.1,1
STU0289,Computer,7.18,0,2,4,74,0,59.5,52.1,0
STU0290,AI&DS,7.91,0,5,3,73,1,70.5,84.5,1
STU0291,Computer,7.56,3,1,3,82,0,63.4,65.6,0
STU0292,Computer,8.03,0,5,1,65,0,72.8,51.4,1
STU0293,Mechanical,7.67,0,4,3,67,1,65.9,67.8,1
STU0294,IT,6.45,0,4,3,85,0,59.0,43.0,0
STU0295,Computer,8.5,0,3,4,81,1,82.4,70.7,1
STU0296,AI&DS,7.16,2,6,4,86,1,71.1,81.6,1
STU0297,ENTC,6.2,0,2,1,72,0,67.3,74.9,0
STU0298,Computer,7.21,0,4,4,79,0,73.5,97.4,1
STU0299,AI&DS,8.95,0,2,0,72,0,46.3,35.9,1
STU0300,Computer,8.37,0,5,2,65,1,95.2,66.9,1
STU0301,Computer,7.29,0,3,3,80,0,68.3,44.8,1
STU0302,AI&DS,7.29,0,3,1,80,1,42.5,62.4,0
STU0303,AI&DS,7.31,0,3,3,70,1,83.6,65.0,0
STU0304,AI&DS,9.47,1,1,0,74,0,58.2,99.2,0
STU0305,ENTC,7.94,1,3,1,76,0,81.6,64.1,0
STU0306,Civil,7.99,1,6,3,54,1,69.6,63.8,1
STU0307,AI&DS,8.53,0,3,3,72,0,47.6,80.1,0
STU0308,IT,7.81,0,1,4,55,1,71.4,64.2,1
STU0309,ENTC,7.37,0,3,3,71,0,70.4,92.5,1
STU0310,Computer,7.42,1,3,3,76,1,83.0,75.0,0
STU0311,IT,7.54,0,2,2,66,1,74.8,77.4,0
STU0312,Computer,7.57,0,3,0,74,1,51.9,37.0,1
STU0313,Computer,8.25,0,0,1,71,0,81.0,94.8,1
STU0314,Civil,7.65,0,8,3,75,0,62.6,55.2,1
STU0315,Mechanical,8.26,0,1,3,87,1,90.4,64.9,1
STU0316,ENTC,7.53,0,1,2,72,0,63.4,55.2,0
STU0317,IT,7.67,1,3,3,62,0,65.3,49.6,1
STU0318,Computer,5.8,0,2,3,69,1,57.3,47.0,0
STU0319,Computer,8.42,0,2,1,70,0,61.5,66.5,1
STU0320,Computer,7.91,0,3,1,71,0,58.1,35.5,1
STU0321,AI&DS,8.5,0,4,4,68,0,83.3,61.4,1
STU0322,ENTC,5.0,0,3,3,66,1,50.7,80.9,0
STU0323,ENTC,9.48,1,7,4,72,1,78.5,74.5,1
STU0324,Computer,7.47,0,3,1,72,0,78.8,71.5,0
STU0325,Civil,8.6,1,3,5,67,0,85.9,51.6,1
STU0326,ENTC,6.66,0,3,2,52,0,68.6,41.2,0
STU0327,AI&DS,8.15,0,5,0,55,1,54.7,80.6,1
STU0328,AI&DS,6.65,1,5,5,78,0,65.8,58.3,0
STU0329,IT,7.04,0,4,2,74,1,75.7,63.8,0
STU0330,Computer,9.32,0,4,3,81,0,69.1,62.0,1
STU0331,IT,7.43,0,2,1,65,1,72.8,75.1,0
STU0332,ENTC,7.8,0,6,3,67,0,85.7,92.6,1
STU0333,Computer,8.38,1,3,4,68,1,75.6,86.9,1
STU0334,Computer,8.05,0,2,2,75,0,70.6,30.0,1
STU0335,Computer,7.74,1,6,3,79,0,44.0,60.4,1
STU0336,Computer,7.93,2,4,1,76,1,57.8,44.8,1
STU0337,Mechanical,9.76,0,3,3,80,1,62.7,79.1,1
STU0338,ENTC,7.55,2,3,2,62,0,42.3,65.1,0
STU0339,IT,7.78,0,6,2,64,1,53.6,74.1,1
STU0340,Computer,8.55,3,4,2,72,1,64.5,59.1,1
STU0341,IT,8.59,0,2,1,70,1,66.6,49.4,0
STU0342,IT,8.67,0,1,4,71,0,74.6,52.0,1
STU0343,Computer,8.17,0,3,2,65,0,65.3,42.0,0
STU0344,IT,6.57,0,4,2,63,0,71.2,46.0,0
STU0345,IT,9.07,0,5,2,80,0,62.6,42.9,1
STU0346,AI&DS,6.57,1,6,2,67,1,68.5,49.5,1
STU0347,AI&DS,7.87,0,2,3,69,0,73.9,48.6,0
STU0348,Computer,6.92,0,4,5,70,0,87.1,70.9,0
STU0349,IT,7.54,1,4,2,76,1,61.3,70.3,0
STU0350,AI&DS,7.9,0,0,4,70,1,69.9,70.9,1
STU0351,AI&DS,7.89,3,4,3,76,0,79.3,82.6,0
STU0352,Mechanical,7.98,1,5,1,77,0,49.3,63.8,1
STU0353,ENTC,9.05,3,2,3,62,1,94.0,53.3,1
STU0354,Computer,8.01,1,5,3,69,0,83.3,98.2,1
STU0355,Computer,7.38,0,4,3,77,1,45.8,78.6,1
STU0356,AI&DS,8.47,0,5,4,59,1,72.8,67.3,1
STU0357,Computer,8.67,1,2,2,73,0,60.7,66.2,0
STU0358,AI&DS,6.5,0,2,4,55,1,62.8,69.3,0
STU0359,Civil,8.14,0,0,4,75,1,72.6,62.0,1
STU0360,AI&DS,8.23,0,4,3,81,0,81.7,66.9,1
STU0361,IT,7.33,3,1,3,67,1,61.9,72.5,0
STU0362,AI&DS,8.84,0,2,2,78,1,62.1,54.1,1
STU0363,IT,7.46,0,3,5,75,1,72.8,40.5,1
STU0364,AI&DS,7.71,0,2,3,65,1,75.4,33.9,1
STU0365,Civil,7.44,0,2,0,78,0,54.9,78.3,0
STU0366,IT,7.61,0,1,2,71,0,90.4,41.3,0
STU0367,Civil,6.61,0,3,3,69,0,59.6,72.0,0
STU0368,Civil,6.3,0,4,1,69,0,80.5,47.7,0
STU0369,Computer,9.04,1,6,0,69,0,73.9,47.9,0
STU0370,Computer,6.84,0,3,3,82,1,75.9,54.2,1
STU0371,Computer,6.71,1,2,2,92,1,59.9,67.9,1
STU0372,Computer,5.66,2,3,2,72,1,45.6,45.7,0
STU0373,Computer,7.02,0,1,2,89,1,67.7,55.7,1
STU0374,ENTC,6.41,0,2,1,76,1,67.8,64.6,0
STU0375,Computer,9.08,0,1,3,64,0,55.5,46.8,0
STU0376,IT,8.51,2,3,3,71,1,79.9,86.4,1
STU0377,Mechanical,6.98,0,4,2,65,0,67.3,39.2,0
STU0378,Computer,9.63,0,2,2,73,1,57.5,61.7,1
STU0379,Mechanical,8.48,0,2,3,70,1,75.6,84.1,1
STU0380,Computer,7.31,0,3,1,68,0,76.0,45.1,0
STU0381,Computer,5.35,0,2,1,68,1,58.7,63.4,0
STU0382,ENTC,9.66,0,2,1,71,0,84.0,67.0,0
STU0383,AI&DS,6.35,1,3,4,70,0,97.2,52.9,1
STU0384,Mechanical,6.12,0,1,4,70,1,53.8,63.8,0
STU0385,ENTC,8.52,0,6,4,73,0,65.6,73.4,1
STU0386,Mechanical,9.8,0,2,3,68,0,72.4,58.0,1
STU0387,Computer,8.85,1,2,3,73,1,97.6,76.5,1
STU0388,Computer,8.11,0,2,3,67,1,58.5,70.9,1
STU0389,ENTC,8.14,2,4,3,61,1,55.8,56.3,1
STU0390,Mechanical,8.37,0,1,0,64,1,55.7,81.9,1
STU0391,Civil,8.28,0,2,3,80,0,83.9,53.9,1
STU0392,IT,7.85,0,4,4,55,0,58.8,77.8,1
STU0393,IT,7.69,0,3,3,62,1,56.9,54.2,1
STU0394,ENTC,7.54,0,3,2,78,1,71.0,60.3,1
STU0395,IT,6.92,0,3,2,68,0,72.0,62.6,0
STU0396,Civil,7.35,1,6,3,74,1,81.9,70.1,1
STU0397,Mechanical,6.08,0,3,3,76,1,69.2,28.8,1
STU0398,IT,7.51,0,3,4,78,1,71.2,71.9,1
STU0399,ENTC,6.71,0,1,2,57,1,66.6,63.5,0
STU0400,ENTC,6.61,0,2,4,72,0,51.0,69.3,0
STU0401,Computer,7.76,0,4,3,69,1,65.4,72.5,0
STU0402,Civil,8.85,0,3,4,69,1,68.8,70.9,0
STU0403,AI&DS,8.43,0,3,3,55,0,62.2,34.9,0
STU0404,Mechanical,6.19,0,2,3,75,1,47.7,49.1,0
STU0405,IT,6.71,0,3,3,72,0,53.2,70.0,0
STU0406,Mechanical,8.45,0,1,3,87,0,67.5,68.0,0
STU0407,IT,6.72,0,2,5,68,1,80.1,53.2,0
STU0408,Computer,7.4,0,2,1,66,0,89.9,76.1,1
STU0409,Civil,8.1,3,3,1,59,0,65.6,61.2,0
STU0410,Computer,6.73,0,5,5,72,1,58.7,78.3,1
STU0411,IT,7.69,0,3,3,64,0,63.2,83.2,1
STU0412,Civil,6.4,0,6,3,85,0,54.4,69.2,1
STU0413,Civil,7.06,1,2,3,82,0,78.2,73.3,0
STU0414,AI&DS,7.89,1,5,1,76,0,95.8,55.9,0
